,날짜,번호,제목,가수,장르,앨범이름,좋아요
0,20210704,32061975,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),국내종합,항해,"352,789"
0,20210704,31737197,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,국내종합,MAP OF THE SOUL : PERSONA,"423,288"
0,20210704,33346446,On The Ground,로제 (ROSÉ),국내종합,R,"129,791"
0,20210704,32491274,아로하,조정석,국내종합,슬기로운 의사생활 OST Part 3,"220,529"
0,20210704,33618864,가을 우체국 앞에서,김대명,국내종합,슬기로운 의사생활 시즌2 OST Part 2,"18,692"
0,20210704,33077590,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),국내종합,쇼미더머니 9 Episode 1,"186,193"
0,20210704,33372788,어푸 (Ah puh),아이유,국내종합,IU 5th Album 'LILAC',"85,145"
0,20210704,33107649,그날에 나는 맘이 편했을까,이예준,국내종합,그날에 나는 맘이 편했을까,"55,243"
0,20210704,33011180,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,국내종합,나랑 같이 걸을래 (바른연애 길잡이 X 적재),"105,413"
0,20210704,33496587,다정히 내 이름을 부르면,경서예지,국내종합,다정히 내 이름을 부르면 (경서예지 x 전건호),"23,809"
0,20210704,33601086,허리춤,오반 (OVAN),국내종합,허리춤,"15,905"
0,20210704,33510308,체념,MSG워너비(정상동기),국내종합,MSG워너비 TOP 8 경연곡,"20,518"
0,20210704,33077234,Life Goes On,방탄소년단,국내종합,BE,"218,297"
0,20210704,32224272,METEOR,창모 (CHANGMO),국내종합,Boyhood,"264,790"
0,20210704,32003395,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,국내종합,멜로가 체질 OST Part 3,"289,448"
0,20210704,30244931,봄날,방탄소년단,국내종합,YOU NEVER WALK ALONE,"541,452"
0,20210704,33571535,추적이는 여름 비가 되어,장범준,국내종합,장범준 싱글,"20,585"
0,20210704,30962526,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,국내종합,'키스 먼저 할까요?' OST Part.3,"370,683"
0,20210704,32224166,너의 번호를 누르고 (Prod. 영화처럼),#안녕,국내종합,너의 번호를 누르고,"80,215"
0,20210704,",3894276",오래된 노래,스탠딩 에그,국내종합,오래된 노래,"229,710"
0,20210704,32438894,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),국내종합,어떻게 지내,"161,385"
0,20210704,33405149,그냥 안아달란 말야,다비치,국내종합,그냥 안아달란 말야,"38,334"
0,20210704,33628324,해야 해,2PM,국내종합,MUST,"19,663"
0,20210704,32559781,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),국내종합,NONSTOP,"179,730"
0,20210704,31853557,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),국내종합,Red Moon : To You My Light,"240,125"
0,20210704,33229299,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,국내종합,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),"69,687"
0,20210704,33628125,Hello Future,NCT DREAM,국내종합,Hello Future - The 1st Album Repackage,"62,367"
0,20210704,32525311,사실 나는 (Feat.전건호),경서예지,국내종합,사실 나는,"76,574"
0,20210704,32156286,늦은 밤 너의 집 앞 골목길에서,노을,국내종합,늦은 밤 너의 집 앞 골목길에서,"182,696"
0,20210704,33572275,오늘따라 더 미운 그대가,전상근,국내종합,오늘따라 더 미운 그대가,"15,066"
0,20210704,32720013,How You Like That,BLACKPINK,국내종합,How You Like That,"179,558"
0,20210704,33347390,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),국내종합,이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈)),"46,633"
0,20210704,33638428,나는 너 좋아,장범준,국내종합,슬기로운 의사생활 시즌2 OST Part 3,"6,869"
0,20210704,32998018,힘든 건 사랑이 아니다,임창정,국내종합,힘든 건 사랑이 아니다,"105,575"
0,20210704,33439096,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시 (Kassy),국내종합,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),"26,862"
0,20210704,32508053,이제 나만 믿어요,임영웅,국내종합,내일은 미스터트롯 우승자 특전곡,"131,483"
0,20210704,"',711626",살다가,SG 워너비,국내종합,살다가,"68,128"
0,20210704,32378104,마음을 드려요,아이유,국내종합,사랑의 불시착 OST Part 11,"210,293"
0,20210704,32143487,Love poem,아이유,국내종합,Love poem,"305,318"
0,20210704,31388145,너를 만나,폴킴,국내종합,너를 만나,"290,282"
0,20210704,33372787,아이와 나의 바다,아이유,국내종합,IU 5th Album 'LILAC',"94,383"
0,20210704,33456218,맛 (Hot Sauce),NCT DREAM,국내종합,맛 (Hot Sauce) - The 1st Album,"107,821"
0,20210704,33164083,우린 어쩌다 헤어진 걸까,허각,국내종합,Hello,"35,223"
0,20210704,33295747,함께 했는데 이별은 나 혼자인 거야,소정 (레이디스 코드),국내종합,함께 했는데 이별은 나 혼자인 거야,"37,749"
0,20210704,32187544,우리 왜 헤어져야 해,신예영,국내종합,우리 왜 헤어져야 해,"111,234"
0,20210704,32871975,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),국내종합,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),"106,163"
0,20210704,32345931,시작,가호 (Gaho),국내종합,이태원 클라쓰 OST Part.2,"215,100"
0,20210704,31984204,안녕,폴킴,국내종합,호텔 델루나 OST Part.10,"192,803"
0,20210704,30773554,Downtown Baby,블루 (BLOO),국내종합,Downtown Baby,"188,870"
0,20210704,33260801,고백 (바른연애 길잡이 X 허각),허각,국내종합,고백 (바른연애 길잡이 X 허각),"37,246"
0,20210704,32853712,When We Disco (Duet with 선미),박진영,국내종합,When We Disco,"78,912"
0,20210704,32698101,OHAYO MY NIGHT,디핵 (D-Hack),국내종합,OHAYO MY NIGHT,"39,840"
0,20210704,30492279,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),국내종합,/// (너 먹구름 비),"279,874"
0,20210704,33430095,기다릴게,하동균,국내종합,기다릴게,"21,396"
0,20210704,33643253,Way Back Home (2021),런치,국내종합,Way Back Home (2021),"5,709"
0,20210704,33510309,만약에,MSG워너비(M.O.M),국내종합,MSG워너비 TOP 8 경연곡,"16,617"
0,20210704,32777869,거짓말이라도 해서 널 보고싶어,백지영,국내종합,거짓말이라도 해서 널 보고싶어,"66,761"
0,20210704,33067476,Black Mamba,aespa,국내종합,Black Mamba,"62,084"
0,20210704,33508682,If You Love Me (Feat. 주헌 (몬스타엑스)),NS 윤지,국내종합,If You Love Me (Feat. 주헌 (몬스타엑스)),"22,612"
0,20210704,33115807,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),국내종합,쇼미더머니 9 Episode 3,"106,891"
0,20210704,33359317,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,해외종합,Justice,"175,046"
